Store,Date,ForecastSales
1,2026-01-01,5513.11
2,2026-01-01,6601.13
3,2026-01-01,3532.34
4,2026-01-01,8784.89
5,2026-01-01,12074.23
6,2026-01-01,3293.11
7,2026-01-01,8595.66
8,2026-01-01,6488.65
9,2026-01-01,11452.45
10,2026-01-01,12837.77
11,2026-01-01,12359.43
12,2026-01-01,9904.37
13,2026-01-01,6513.67
14,2026-01-01,7510.57
15,2026-01-01,6418.43
16,2026-01-01,11304.2
17,2026-01-01,5894.84
18,2026-01-01,8760.68
19,2026-01-01,5186.0
20,2026-01-01,3291.58
21,2026-01-01,10093.25
22,2026-01-01,8069.25
23,2026-01-01,9854.58
24,2026-01-01,7334.33
25,2026-01-01,4198.49
26,2026-01-01,6212.25
27,2026-01-01,8574.25
28,2026-01-01,8911.07
29,2026-01-01,7371.67
30,2026-01-01,7227.58
31,2026-01-01,8310.98
32,2026-01-01,8597.22
33,2026-01-01,9731.02
34,2026-01-01,9366.79
35,2026-01-01,6973.81
36,2026-01-01,5466.03
37,2026-01-01,6581.42
38,2026-01-01,6737.32
39,2026-01-01,6933.31
40,2026-01-01,4575.03
41,2026-01-01,5462.1
42,2026-01-01,10495.33
43,2026-01-01,6353.0
44,2026-01-01,6819.61
45,2026-01-01,8994.3
46,2026-01-01,3328.75
47,2026-01-01,6085.35
48,2026-01-01,6401.13
49,2026-01-01,4555.26
50,2026-01-01,10954.02
1,2026-01-02,5376.08
2,2026-01-02,4757.4
3,2026-01-02,5114.25
4,2026-01-02,9183.32
5,2026-01-02,8627.02
6,2026-01-02,2891.63
7,2026-01-02,10417.37
8,2026-01-02,8587.19
9,2026-01-02,9157.42
10,2026-01-02,12955.58
11,2026-01-02,11392.53
12,2026-01-02,8541.51
13,2026-01-02,6758.79
14,2026-01-02,9190.64
15,2026-01-02,5613.35
16,2026-01-02,11522.87
17,2026-01-02,6313.02
18,2026-01-02,8840.84
19,2026-01-02,5838.67
20,2026-01-02,3406.55
21,2026-01-02,7855.76
22,2026-01-02,10814.49
23,2026-01-02,7279.46
24,2026-01-02,8423.51
25,2026-01-02,4219.68
26,2026-01-02,5706.2
27,2026-01-02,8632.93
28,2026-01-02,9191.8
29,2026-01-02,7269.38
30,2026-01-02,4973.78
31,2026-01-02,7842.04
32,2026-01-02,8531.06
33,2026-01-02,9470.05
34,2026-01-02,10538.77
35,2026-01-02,5652.78
36,2026-01-02,4032.77
37,2026-01-02,5686.6
38,2026-01-02,6547.83
39,2026-01-02,8707.79
40,2026-01-02,4589.79
41,2026-01-02,5010.15
42,2026-01-02,7361.44
43,2026-01-02,6977.8
44,2026-01-02,6368.96
45,2026-01-02,8251.66
46,2026-01-02,2610.42
47,2026-01-02,5854.54
48,2026-01-02,6284.45
49,2026-01-02,4530.86
50,2026-01-02,9278.08
1,2026-01-03,5404.18
2,2026-01-03,5665.88
3,2026-01-03,6446.68
4,2026-01-03,9360.6
5,2026-01-03,8043.08
6,2026-01-03,2106.92
7,2026-01-03,11855.79
8,2026-01-03,8535.64
9,2026-01-03,7991.31
10,2026-01-03,11693.2
11,2026-01-03,12776.09
12,2026-01-03,10067.67
13,2026-01-03,6859.68
14,2026-01-03,9459.73
15,2026-01-03,4503.78
16,2026-01-03,10336.0
17,2026-01-03,5709.56
18,2026-01-03,9804.97
19,2026-01-03,6592.05
20,2026-01-03,3462.78
21,2026-01-03,10924.51
22,2026-01-03,10047.87
23,2026-01-03,6229.15
24,2026-01-03,8665.54
25,2026-01-03,3659.57
26,2026-01-03,5593.12
27,2026-01-03,9327.48
28,2026-01-03,9109.44
29,2026-01-03,7369.28
30,2026-01-03,4740.17
