Store,Date,ForecastSales
1,2027-01-01,0.0
1,2027-01-02,2729.62
1,2027-01-03,0.0
1,2027-01-04,3305.59
1,2027-01-05,3252.6
1,2027-01-06,3350.01
1,2027-01-07,3300.56
2,2027-01-01,34.47
2,2027-01-02,2868.15
2,2027-01-03,0.0
2,2027-01-04,3462.13
2,2027-01-05,3402.89
2,2027-01-06,3381.44
2,2027-01-07,3384.23
3,2027-01-01,0.0
3,2027-01-02,2873.2
3,2027-01-03,0.0
3,2027-01-04,3436.52
3,2027-01-05,3417.5
3,2027-01-06,3409.65
3,2027-01-07,3418.5
4,2027-01-01,17.7
4,2027-01-02,2900.13
4,2027-01-03,0.0
4,2027-01-04,3469.58
4,2027-01-05,3493.91
4,2027-01-06,3455.73
4,2027-01-07,3474.02
5,2027-01-01,3.72
5,2027-01-02,2980.98
5,2027-01-03,0.0
5,2027-01-04,3528.29
5,2027-01-05,3494.82
5,2027-01-06,3632.03
5,2027-01-07,3493.22
6,2027-01-01,22.23
6,2027-01-02,2986.15
6,2027-01-03,0.0
6,2027-01-04,3574.8
6,2027-01-05,3576.37
6,2027-01-06,3558.1
6,2027-01-07,3533.94
7,2027-01-01,0.0
7,2027-01-02,2996.14
7,2027-01-03,0.0
7,2027-01-04,3516.07
7,2027-01-05,3450.83
7,2027-01-06,3511.6
7,2027-01-07,3581.72
8,2027-01-01,48.72
8,2027-01-02,3080.3
8,2027-01-03,0.0
8,2027-01-04,3661.46
8,2027-01-05,3672.08
8,2027-01-06,3661.44
8,2027-01-07,3637.46
9,2027-01-01,7.45
9,2027-01-02,3080.72
9,2027-01-03,0.0
9,2027-01-04,3692.31
9,2027-01-05,3620.62
9,2027-01-06,3673.54
9,2027-01-07,3667.59
10,2027-01-01,0.0
10,2027-01-02,3153.79
10,2027-01-03,0.0
10,2027-01-04,3807.44
10,2027-01-05,3745.56
10,2027-01-06,3767.24
10,2027-01-07,3749.57
11,2027-01-01,0.0
11,2027-01-02,3219.12
11,2027-01-03,0.0
11,2027-01-04,3826.15
11,2027-01-05,3801.28
11,2027-01-06,3823.19
11,2027-01-07,3853.09
12,2027-01-01,0.0
12,2027-01-02,3186.28
12,2027-01-03,0.0
12,2027-01-04,3822.48
12,2027-01-05,3784.59
12,2027-01-06,3820.98
12,2027-01-07,3792.87
13,2027-01-01,6.1
13,2027-01-02,3220.76
