Store_ID,Week_Start,Week_End,Forecast_Demand,Safety_Stock,Available_Stock,Recommended_PO
1,2027-01-01,2027-01-07,97603.26,271,1516,96359
2,2027-01-01,2027-01-07,39753.08,819,440,40133
3,2027-01-01,2027-01-07,35560.64,724,1469,34816
4,2027-01-01,2027-01-07,103475.1,551,112,103915
5,2027-01-01,2027-01-07,92019.3,546,1455,91111
6,2027-01-01,2027-01-07,72107.41,887,1438,71557
7,2027-01-01,2027-01-07,43944.06,268,1427,42786
8,2027-01-01,2027-01-07,20544.02,758,1230,20073
9,2027-01-01,2027-01-07,32788.26,361,902,32248
10,2027-01-01,2027-01-07,4417.7,275,1299,3394
11,2027-01-01,2027-01-07,14084.43,621,571,14135
12,2027-01-01,2027-01-07,57636.58,981,1428,57190
13,2027-01-01,2027-01-07,145456.82,789,1045,145201
14,2027-01-01,2027-01-07,54626.17,809,880,54556
15,2027-01-01,2027-01-07,110408.97,774,960,110223
16,2027-01-01,2027-01-07,32068.28,829,1067,31831
17,2027-01-01,2027-01-07,90500.45,611,163,90949
18,2027-01-01,2027-01-07,148723.49,302,337,148689
19,2027-01-01,2027-01-07,90401.9,872,517,90757
20,2027-01-01,2027-01-07,108780.16,560,294,109047
21,2027-01-01,2027-01-07,26138.34,600,847,25892
22,2027-01-01,2027-01-07,95124.74,497,1236,94386
23,2027-01-01,2027-01-07,22996.51,346,1213,22130
24,2027-01-01,2027-01-07,77336.57,942,901,77378
25,2027-01-01,2027-01-07,127018.41,826,1554,126291
26,2027-01-01,2027-01-07,69571,715,1061,69226
27,2027-01-01,2027-01-07,72468.97,522,234,72757
28,2027-01-01,2027-01-07,112939.89,859,1401,112398
29,2027-01-01,2027-01-07,125166.58,636,1077,124726
30,2027-01-01,2027-01-07,43202.28,555,1179,42579
31,2027-01-01,2027-01-07,73288.88,560,1061,72788
32,2027-01-01,2027-01-07,111511.19,382,1041,110853
33,2027-01-01,2027-01-07,140472.21,273,254,140492
34,2027-01-01,2027-01-07,31914.09,644,1051,31508
35,2027-01-01,2027-01-07,33066.37,911,1452,32526
36,2027-01-01,2027-01-07,89732.3,251,617,89367
37,2027-01-01,2027-01-07,86009.66,887,1125,85772
38,2027-01-01,2027-01-07,61156.2,862,152,61867
