Store,Date,ForecastSales
1,2027-01-01,3556.89
2,2027-01-01,3657.49
3,2027-01-01,3737.23
4,2027-01-01,3318.73
5,2027-01-01,3288.11
6,2027-01-01,3380.51
7,2027-01-01,3565.43
8,2027-01-01,3950.96
9,2027-01-01,3879.79
10,2027-01-01,4467.47
11,2027-01-01,4542.64
12,2027-01-01,3523.63
13,2027-01-01,3384.1
14,2027-01-01,4469.82
15,2027-01-01,4130.09
16,2027-01-01,3776.19
17,2027-01-01,3990.87
18,2027-01-01,4076.12
19,2027-01-01,3056.28
20,2027-01-01,3746.97
21,2027-01-01,3903.67
22,2027-01-01,5213.03
23,2027-01-01,3619.39
24,2027-01-01,4266.36
25,2027-01-01,4469.89
26,2027-01-01,3732.09
27,2027-01-01,4519.3
28,2027-01-01,3602.94
29,2027-01-01,4166.69
30,2027-01-01,4214.98
31,2027-01-01,5540.84
32,2027-01-01,4854.15
33,2027-01-01,4214.19
34,2027-01-01,4848.74
35,2027-01-01,4226.08
36,2027-01-01,4574.91
37,2027-01-01,4665.93
38,2027-01-01,4844.05
39,2027-01-01,4468.03
40,2027-01-01,3902.13
41,2027-01-01,4659.66
42,2027-01-01,4740.45
43,2027-01-01,4967.14
44,2027-01-01,7381.17
45,2027-01-01,5752.54
46,2027-01-01,5817.99
47,2027-01-01,5277.35
48,2027-01-01,5505.85
49,2027-01-01,5989.88
50,2027-01-01,5073.34
1,2027-01-02,3191.79
2,2027-01-02,3227.5
3,2027-01-02,3790.45
4,2027-01-02,3062.12
5,2027-01-02,2917.74
6,2027-01-02,3463.55
7,2027-01-02,3377.58
8,2027-01-02,3632.13
9,2027-01-02,3626.61
10,2027-01-02,4345.05
11,2027-01-02,4198.45
12,2027-01-02,3242.26
13,2027-01-02,3301.73
14,2027-01-02,4558.28
15,2027-01-02,3774.57
16,2027-01-02,3410.21
17,2027-01-02,3954.19
18,2027-01-02,4105.19
19,2027-01-02,2743.18
20,2027-01-02,3773.56
21,2027-01-02,3726.78
22,2027-01-02,5335.73
23,2027-01-02,3335.86
24,2027-01-02,4251.19
25,2027-01-02,4334.57
26,2027-01-02,3542.26
27,2027-01-02,4425.67
28,2027-01-02,3281.17
29,2027-01-02,3847.85
30,2027-01-02,4057.7
31,2027-01-02,5668.4
32,2027-01-02,4525.62
33,2027-01-02,3902.14
34,2027-01-02,4476.33
35,2027-01-02,3974.52
36,2027-01-02,4412.67
37,2027-01-02,4362.0
38,2027-01-02,4743.15
39,2027-01-02,4325.75
40,2027-01-02,3469.75
41,2027-01-02,4192.13
42,2027-01-02,4562.8
43,2027-01-02,4682.88
44,2027-01-02,6974.76
45,2027-01-02,5508.12
46,2027-01-02,5383.19
47,2027-01-02,5205.64
48,2027-01-02,5157.07
49,2027-01-02,5597.36
50,2027-01-02,4610.23
1,2027-01-03,2948.75
2,2027-01-03,2994.52
3,2027-01-03,3653.32
4,2027-01-03,2957.62
5,2027-01-03,2676.24
6,2027-01-03,3277.88
7,2027-01-03,3150.67
8,2027-01-03,3496.09
9,2027-01-03,3643.51
10,2027-01-03,4094.09
11,2027-01-03,4064.33
12,2027-01-03,3037.63
13,2027-01-03,3140.1
14,2027-01-03,4466.99
15,2027-01-03,3519.54
16,2027-01-03,3139.49
17,2027-01-03,3772.67
18,2027-01-03,3903.16
19,2027-01-03,2610.01
20,2027-01-03,3629.57
21,2027-01-03,3498.58
22,2027-01-03,5251.89
23,2027-01-03,3246.56
24,2027-01-03,4160.76
25,2027-01-03,4122.73
26,2027-01-03,3539.74
27,2027-01-03,4150.31
28,2027-01-03,3146.38
29,2027-01-03,3580.48
30,2027-01-03,3841.17
31,2027-01-03,5658.83
32,2027-01-03,4400.63
33,2027-01-03,3669.34
34,2027-01-03,4375.21
35,2027-01-03,3715.37
36,2027-01-03,4362.0
37,2027-01-03,4149.8
38,2027-01-03,4623.8
39,2027-01-03,4099.68
40,2027-01-03,3234.03
41,2027-01-03,3981.15
42,2027-01-03,4442.0
43,2027-01-03,4533.28
44,2027-01-03,6802.44
45,2027-01-03,5082.57
46,2027-01-03,5045.06
47,2027-01-03,5190.62
48,2027-01-03,5009.07
49,2027-01-03,5481.29
50,2027-01-03,4337.55
1,2027-01-04,2870.33
2,2027-01-04,2789.62
3,2027-01-04,3492.18
4,2027-01-04,2670.43
5,2027-01-04,2613.73
6,2027-01-04,3226.7
7,2027-01-04,2937.55
8,2027-01-04,3595.73
9,2027-01-04,3320.54
10,2027-01-04,3843.07
11,2027-01-04,3810.37
12,2027-01-04,2689.82
13,2027-01-04,2951.03
14,2027-01-04,4110.79
15,2027-01-04,3297.01
16,2027-01-04,3034.62
17,2027-01-04,3584.4
18,2027-01-04,3627.3
19,2027-01-04,2439.2
20,2027-01-04,3310.35
21,2027-01-04,3030.9
22,2027-01-04,4539.1
23,2027-01-04,2966.05
24,2027-01-04,3851.32
25,2027-01-04,3891.27
26,2027-01-04,3303.68
27,2027-01-04,4008.08
28,2027-01-04,2810.23
29,2027-01-04,3320.04
30,2027-01-04,3631.19
31,2027-01-04,5919.29
32,2027-01-04,4055.58
33,2027-01-04,3433.41
34,2027-01-04,4476.36
35,2027-01-04,3455.48
36,2027-01-04,4100.59
37,2027-01-04,3900.88
38,2027-01-04,4305.93
39,2027-01-04,3877.34
40,2027-01-04,2958.32
41,2027-01-04,3653.71
42,2027-01-04,4038.88
43,2027-01-04,4185.17
44,2027-01-04,7014.73
45,2027-01-04,4833.8
46,2027-01-04,4684.91
47,2027-01-04,4565.51
48,2027-01-04,4734.43
49,2027-01-04,5949.49
50,2027-01-04,4202.7
1,2027-01-05,2986.54
2,2027-01-05,2999.89
3,2027-01-05,3584.42
4,2027-01-05,2817.21
5,2027-01-05,2688.62
6,2027-01-05,3335.7
7,2027-01-05,3071.25
8,2027-01-05,3671.33
9,2027-01-05,3289.04
10,2027-01-05,3862.02
11,2027-01-05,3737.49
12,2027-01-05,2835.33
13,2027-01-05,2968.03
14,2027-01-05,4101.76
15,2027-01-05,3331.09
16,2027-01-05,3040.91
17,2027-01-05,3633.48
18,2027-01-05,3674.23
19,2027-01-05,2582.1
20,2027-01-05,3179.88
21,2027-01-05,2971.37
22,2027-01-05,4596.59
23,2027-01-05,3086.61
24,2027-01-05,3885.43
25,2027-01-05,3845.83
26,2027-01-05,3495.92
27,2027-01-05,3999.94
28,2027-01-05,2837.81
29,2027-01-05,3496.61
30,2027-01-05,3648.21
31,2027-01-05,5712.39
32,2027-01-05,4028.68
33,2027-01-05,3441.4
34,2027-01-05,4526.69
35,2027-01-05,3684.89
36,2027-01-05,4094.07
37,2027-01-05,3956.71
38,2027-01-05,4361.95
39,2027-01-05,3866.53
40,2027-01-05,3141.87
41,2027-01-05,3892.31
42,2027-01-05,4146.65
43,2027-01-05,4207.14
44,2027-01-05,6711.8
45,2027-01-05,5036.47
46,2027-01-05,4836.97
47,2027-01-05,4673.41
48,2027-01-05,5003.17
49,2027-01-05,5795.08
50,2027-01-05,4264.52
1,2027-01-06,2938.11
2,2027-01-06,3012.58
3,2027-01-06,3480.33
4,2027-01-06,2785.35
5,2027-01-06,2794.31
6,2027-01-06,3198.72
7,2027-01-06,3040.77
8,2027-01-06,3540.65
9,2027-01-06,3108.51
10,2027-01-06,3798.97
11,2027-01-06,3685.54
12,2027-01-06,2865.45
13,2027-01-06,2935.81
14,2027-01-06,3958.01
15,2027-01-06,3312.35
16,2027-01-06,2941.35
17,2027-01-06,3547.95
18,2027-01-06,3579.37
19,2027-01-06,2516.5
20,2027-01-06,3184.98
21,2027-01-06,2992.47
22,2027-01-06,4597.1
23,2027-01-06,2999.07
24,2027-01-06,3727.25
25,2027-01-06,3723.05
26,2027-01-06,3461.04
27,2027-01-06,3895.26
28,2027-01-06,2763.73
29,2027-01-06,3524.33
30,2027-01-06,3595.06
31,2027-01-06,5443.72
32,2027-01-06,3971.85
33,2027-01-06,3441.78
34,2027-01-06,4451.16
35,2027-01-06,3797.03
36,2027-01-06,3902.12
37,2027-01-06,3827.25
38,2027-01-06,4391.71
39,2027-01-06,3798.89
40,2027-01-06,3147.58
41,2027-01-06,3789.91
42,2027-01-06,4108.39
43,2027-01-06,4127.8
44,2027-01-06,6556.55
45,2027-01-06,5095.18
46,2027-01-06,4815.75
47,2027-01-06,4615.17
48,2027-01-06,4839.28
49,2027-01-06,5647.59
50,2027-01-06,4271.72
1,2027-01-07,2829.8
2,2027-01-07,3005.4
3,2027-01-07,3441.59
4,2027-01-07,2795.98
5,2027-01-07,2744.9
6,2027-01-07,3296.87
7,2027-01-07,2904.0
8,2027-01-07,3445.51
9,2027-01-07,3212.5
10,2027-01-07,3717.42
11,2027-01-07,3679.0
12,2027-01-07,2839.57
13,2027-01-07,2996.41
14,2027-01-07,3888.17
15,2027-01-07,3249.17
16,2027-01-07,2943.41
17,2027-01-07,3499.44
18,2027-01-07,3579.29
19,2027-01-07,2644.5
20,2027-01-07,3229.13
21,2027-01-07,3032.21
22,2027-01-07,4524.07
23,2027-01-07,2961.13
24,2027-01-07,3685.11
25,2027-01-07,3629.74
26,2027-01-07,3469.77
27,2027-01-07,3843.61
28,2027-01-07,2879.77
