Date,Store_ID,SKU_ID,Sales_Units,Revenue,Promo_Flag,Holiday_Flag
2026-07-17,STR-101,SKU-8821,46,936.71,0,0
2026-07-17,STR-101,SKU-9943,62,880.77,0,0
2026-07-17,STR-101,SKU-7732,138,2245.16,1,0
2026-07-17,STR-101,SKU-4412,49,705.25,0,0
2026-07-17,STR-102,SKU-8821,154,2831.27,0,0
2026-07-17,STR-102,SKU-9943,192,1943.16,1,0
2026-07-17,STR-102,SKU-7732,148,1849.84,1,0
2026-07-17,STR-102,SKU-4412,44,1022.31,0,0
2026-07-17,STR-103,SKU-8821,225,2673.8,1,0
2026-07-17,STR-103,SKU-9943,68,586.84,0,0
2026-07-17,STR-103,SKU-7732,168,2861.72,0,0
2026-07-17,STR-103,SKU-4412,211,3930.27,0,0
2026-07-17,STR-104,SKU-8821,150,1815.27,0,0
2026-07-17,STR-104,SKU-9943,104,1979.73,0,0
2026-07-17,STR-104,SKU-7732,60,266.58,0,0
2026-07-17,STR-104,SKU-4412,193,3459.52,0,0
2026-07-17,STR-105,SKU-8821,57,773.95,0,0
2026-07-17,STR-105,SKU-9943,71,879.97,0,0
2026-07-17,STR-105,SKU-7732,150,2477.91,0,0
2026-07-17,STR-105,SKU-4412,107,1747.32,0,0
2026-07-18,STR-101,SKU-8821,194,3298.62,0,1
2026-07-18,STR-101,SKU-9943,52,866.82,0,1
2026-07-18,STR-101,SKU-7732,145,3302.33,0,1
2026-07-18,STR-101,SKU-4412,109,1818.93,0,1
2026-07-18,STR-102,SKU-8821,138,3146.4,0,1
2026-07-18,STR-102,SKU-9943,213,4698.71,0,1
2026-07-18,STR-102,SKU-7732,52,289.43,0,1
2026-07-18,STR-102,SKU-4412,56,980.09,0,1
2026-07-18,STR-103,SKU-8821,97,2019.53,0,1
2026-07-18,STR-103,SKU-9943,186,1725.71,0,1
2026-07-18,STR-103,SKU-7732,165,2704.9,0,1
2026-07-18,STR-103,SKU-4412,232,4633.36,1,1
2026-07-18,STR-104,SKU-8821,71,1341.02,0,1
2026-07-18,STR-104,SKU-9943,278,3324.51,1,1
2026-07-18,STR-104,SKU-7732,179,1877.08,0,1
2026-07-18,STR-104,SKU-4412,254,3122.77,1,1
2026-07-18,STR-105,SKU-8821,235,1319.3,1,1
2026-07-18,STR-105,SKU-9943,190,3884.05,1,1
2026-07-18,STR-105,SKU-7732,201,2307.21,0,1
2026-07-18,STR-105,SKU-4412,202,1085.02,0,1
2026-07-19,STR-101,SKU-8821,211,4850.35,0,1
2026-07-19,STR-101,SKU-9943,153,1942.05,0,1
2026-07-19,STR-101,SKU-7732,99,1711.38,0,1
2026-07-19,STR-101,SKU-4412,242,4764.3,1,1
2026-07-19,STR-102,SKU-8821,128,599.03,0,1
2026-07-19,STR-102,SKU-9943,119,2582.05,0,1
2026-07-19,STR-102,SKU-7732,61,392.31,0,1
2026-07-19,STR-102,SKU-4412,211,1175.91,1,1
2026-07-19,STR-103,SKU-8821,166,828.61,0,1
2026-07-19,STR-103,SKU-9943,227,1173.06,1,1
2026-07-19,STR-103,SKU-7732,217,2424.44,0,1
2026-07-19,STR-103,SKU-4412,186,4262.86,0,1
2026-07-19,STR-104,SKU-8821,235,2635.13,1,1
2026-07-19,STR-104,SKU-9943,179,2675.56,0,1
2026-07-19,STR-104,SKU-7732,203,1173.25,0,1
2026-07-19,STR-104,SKU-4412,42,550.52,0,1
2026-07-19,STR-105,SKU-8821,61,360.47,0,1
2026-07-19,STR-105,SKU-9943,174,2689.88,0,1
2026-07-19,STR-105,SKU-7732,167,1562.64,1,1
2026-07-19,STR-105,SKU-4412,140,3254.45,1,1
2026-07-20,STR-101,SKU-8821,214,938.34,0,0
2026-07-20,STR-101,SKU-9943,194,4628.02,1,0
2026-07-20,STR-101,SKU-7732,139,3248.53,0,0
2026-07-20,STR-101,SKU-4412,153,2717.72,0,0
2026-07-20,STR-102,SKU-8821,152,2352.72,0,0
2026-07-20,STR-102,SKU-9943,108,1000.05,1,0
2026-07-20,STR-102,SKU-7732,260,3338.65,1,0
2026-07-20,STR-102,SKU-4412,89,654.73,0,0
2026-07-20,STR-103,SKU-8821,103,1592.89,0,0
2026-07-20,STR-103,SKU-9943,215,5099.22,0,0
2026-07-20,STR-103,SKU-7732,136,1338.96,0,0
2026-07-20,STR-103,SKU-4412,223,1523.9,1,0
2026-07-20,STR-104,SKU-8821,248,5696.78,1,0
2026-07-20,STR-104,SKU-9943,150,1811.1,0,0
2026-07-20,STR-104,SKU-7732,255,1128.88,1,0
2026-07-20,STR-104,SKU-4412,107,2152.45,0,0
2026-07-20,STR-105,SKU-8821,127,1991.32,1,0
2026-07-20,STR-105,SKU-9943,214,4443.38,0,0
2026-07-20,STR-105,SKU-7732,184,2208.7,1,0
2026-07-20,STR-105,SKU-4412,50,1061.34,0,0
2026-07-21,STR-101,SKU-8821,279,6676.76,1,0
2026-07-21,STR-101,SKU-9943,178,4070.45,0,0
2026-07-21,STR-101,SKU-7732,144,1834.01,1,0
2026-07-21,STR-101,SKU-4412,211,3360.51,0,0
2026-07-21,STR-102,SKU-8821,160,2587.46,0,0
2026-07-21,STR-102,SKU-9943,60,1036.04,0,0
2026-07-21,STR-102,SKU-7732,179,2535.24,0,0
2026-07-21,STR-102,SKU-4412,199,2984.85,1,0
